 JULDAY,   TIME,   DEP1,   DEP2,   DEP3,   DEP4,   DEP5,   DEP6,   DEP7,   DEP8,   DEP9
 15.,   0.00,   5.28,   5.28,   5.28,   5.28,   5.28,   5.28,   5.28,   5.28,   5.28
 15.,  60.00,   4.49,   4.49,   4.49,   4.49,   4.49,   4.49,   4.49,   4.49,   4.49
 15., 120.00,   4.34,   4.34,   4.34,   4.34,   4.34,   4.34,   4.34,   4.34,   4.34
 15., 180.00,   4.33,   4.33,   4.33,   4.33,   4.33,   4.33,   4.33,   4.33,   4.33
 15., 240.00,   4.39,   4.39,   4.39,   4.39,   4.39,   4.39,   4.39,   4.39,   4.39
 15., 300.00,   4.46,   4.46,   4.46,   4.46,   4.46,   4.46,   4.46,   4.46,   4.46
 15., 360.00,   4.56,   4.56,   4.56,   4.56,   4.56,   4.56,   4.56,   4.56,   4.56
 15., 420.00,   4.69,   4.69,   4.69,   4.69,   4.69,   4.69,   4.69,   4.69,   4.69
 15., 480.00,   4.85,   4.85,   4.85,   4.85,   4.85,   4.85,   4.85,   4.85,   4.85
 15., 540.00,   5.32,   5.32,   5.32,   5.32,   5.32,   5.32,   5.32,   5.32,   5.32
 15., 600.00,   5.89,   5.89,   5.89,   5.89,   5.89,   5.89,   5.89,   5.89,   5.89
 15., 660.00,   6.65,   6.65,   6.65,   6.65,   6.65,   6.65,   6.65,   6.65,   6.65
 15., 720.00,   6.89,   6.89,   6.89,   6.89,   6.89,   6.89,   6.89,   6.89,   6.89
 15., 780.00,   8.27,   8.27,   8.27,   8.27,   8.27,   8.27,   8.27,   8.27,   8.27
 15., 840.00,   7.97,   7.97,   7.97,   7.97,   7.97,   7.97,   7.97,   7.97,   7.97
 15., 900.00,   7.15,   7.15,   7.15,   7.15,   7.15,   7.15,   7.15,   7.15,   7.15
 15., 960.00,   5.93,   5.93,   5.93,   5.93,   5.93,   5.93,   5.93,   5.93,   5.93
 15.,1020.00,   4.79,   4.79,   4.79,   4.79,   4.79,   4.79,   4.79,   4.79,   4.79
 15.,1080.00,   4.57,   4.57,   4.57,   4.57,   4.57,   4.57,   4.57,   4.57,   4.57
 15.,1140.00,   4.13,   4.13,   4.13,   4.13,   4.13,   4.13,   4.13,   4.13,   4.13
 15.,1200.00,   4.13,   4.13,   4.13,   4.13,   4.13,   4.13,   4.13,   4.13,   4.13
